year,month,global,average
2009,1,0.004092769,0.0010944340212632893
2009,2,0.0038071065,3.622605363984674E-4
2009,3,0.0,0.0
2009,4,0.027777778,0.007751546722134956
2009,5,0.009708738,0.004937010554988084
2009,6,0.0,0.0
2009,7,0.14696877,0.04976953009404515
2009,8,0.06338028,0.023389160700629314
2009,9,0.0,0.0
2009,10,0.0038826575,0.0033407572383073497
2009,11,0.0039893617,0.001125538611108518
2009,12,0.031217482,0.008502715139789145
2010,1,0.028014416,0.007528090120226503
2010,2,0.0013979496,9.458553394222737E-4
2010,3,3.628447E-4,2.1978103304291465E-4
2010,4,0.30277276,0.09711950902907919
2010,5,0.01236094,0.004851961410307526
2010,6,0.029456373,0.008532408072280817
2010,7,0.23126735,0.06857788669091645
2010,8,0.06632478,0.019654787842764147
2010,9,0.079918034,0.023767345296926208
2010,10,0.055313393,0.015260446284704814
2010,11,0.09349925,0.056588598916795525
2010,12,0.044378698,0.012287219939989177
2011,1,0.07294482,0.025943678110021726
2011,2,0.035498712,0.009729802305653415
2011,3,0.09800915,0.02713654277128826
2011,4,0.111790635,0.023184306475542833
2011,5,0.09861884,0.013715096473423366
2011,6,0.16422369,0.016128154323801557
2011,7,0.10402915,0.015074592309121677
2011,8,0.09188277,0.014229511429363906
2011,9,1.0,0.014569517662910307
2011,10,0.09646404,0.014858877499770386
2011,11,0.10490391,0.01939907281578597
2011,12,0.101165675,0.02371615388028243
2012,1,0.107622795,0.024825615278326205
2012,2,0.79296905,0.0263925641813827
2012,3,0.527293,0.02248236533426974
2012,4,0.10709902,0.02409519428596448
2012,5,0.70473224,0.10782309447610786
2012,6,0.43033174,0.1474632874211011
2012,7,0.5045837,0.07905976268048215
2012,8,0.98413455,0.06665203377693579
2012,9,0.7338785,0.07516721607928185
2012,10,0.56443757,0.0733945700658096
2012,11,0.3869205,0.07149432311048694
2012,12,0.29004917,0.07494573205869769
2013,1,0.26072344,0.07912902095248955
2013,2,0.27319908,0.07642019266543086
2013,3,0.2604169,0.050104952455595035
2013,4,0.2424033,0.03891160585354832
2013,5,0.27690464,0.05596093003906069
2013,6,0.23586254,0.0386322384870083
2013,7,0.20832725,0.031192843475185285
2013,8,0.117726535,0.045620884257301694
2013,9,0.8770447,0.029019380153836247
2013,10,0.25222424,0.02863674861713392
2013,11,0.039078154,0.01616510795914876
2013,12,0.02539509,0.015399029601569823
2014,1,0.28511998,0.016080109443883522
2014,2,1.0,0.017652745211516975
2014,3,0.46971914,0.016478635085217318
2014,4,0.20639639,0.016242268427503613
2014,5,0.81285155,0.017089116717951384
2014,6,0.41370654,0.01330037323419387
2014,7,0.0701048,0.012638140724977053
2014,8,0.020433921,0.012920072345443248
2014,9,0.029546762,0.014875625814389934
2014,10,0.087428786,0.015379159503360572
2014,11,0.031822104,0.014305589073739645
2014,12,0.21463779,0.014423632773886506
2015,1,0.082904905,0.014969410910947317
2015,2,0.031306826,0.01452385317483478
2015,3,0.032032844,0.014409959514866887
2015,4,0.03942968,0.01385940668053852
2015,5,0.03971532,0.015017164352166977
2015,6,0.047797177,0.014616828542819095
2015,7,0.07452216,0.01994286668368579
2015,8,0.07138766,0.014456571063086485
2015,9,0.06659002,0.013721979402335972
2015,10,0.14744635,0.015561182738886582
2015,11,0.0956326,0.017239784426662123
2015,12,0.049549222,0.018137038161964342
2016,1,0.08697535,0.01733233756649879
2016,2,0.091502205,0.015449631328295575
2016,3,0.13068192,0.01829988705962304
2016,4,0.09368472,0.01774896446366921
2016,5,0.19370396,0.0172906844909714
2016,6,0.1944646,0.016854277338373077
2016,7,0.15589362,0.017073219658823358
2016,8,0.14392284,0.016602406708623927
2016,9,0.20178579,0.016123695061416015
2016,10,0.15236256,0.016429148488267202
2016,11,0.12762697,0.01618097301857873
2016,12,0.10749854,0.015937137617205287
2017,1,0.09853004,0.014883589633694273
2017,2,0.05497664,0.014087194287609104
2017,3,0.022659956,0.008793743658362245