year,month,bridge
2009,1,0.3601637107776262
2009,2,0.258248730964467
2009,3,0.2553191489361702
2009,4,0.25997150997151
2009,5,0.26990291262135924
2009,6,0.19659574468085106
2009,7,0.12186160440906307
2009,8,0.11854460093896714
2009,9,0.1985773562537048
2009,10,0.2635893011216566
2009,11,0.2695035460992908
2009,12,0.37190426638917795
2010,1,0.39924639580602883
2010,2,0.2972041006523765
2010,3,0.35970004837929365
2010,4,0.24727137615531095
2010,5,0.3049718445268507
2010,6,0.4305100981879141
2010,7,0.30240518038852915
2010,8,0.29428687576221896
2010,9,0.28702755009107467
2010,10,0.3155468710857257
2010,11,0.13302160593356982
2010,12,0.3374544457071202
2011,1,0.19058533748417775