year,month,conductance,total_edges,selected_edges
2009,1,1.0,733,394
2009,2,1.0,1576,1007
2009,3,1.0,1457,957
2009,4,1.0,1404,885
2009,5,1.0,1545,1045
2009,6,1.0,1175,738
2009,7,0.8380566801619433,1633,1217
2009,8,1.0,1704,1253
2009,9,1.0,1687,1294
2009,10,0.971830985915493,2318,1562
2009,11,1.0,2256,1243
2009,12,0.9916666666666667,4805,1809
2010,1,1.0,6104,2200
2010,2,0.9953488372093023,10730,3454
2010,3,1.0,8268,2219
2010,4,0.021479713603818614,21531,10918
2010,5,0.9926470588235294,14562,5964
2010,6,0.8927038626609443,12527,4800
2010,7,0.6303317535545023,64860,20842
2010,8,0.19788918205804748,31979,4390
2010,9,0.7482656095143707,35136,5318
2010,10,0.7536231884057971,39918,8765
2010,11,0.6442451420029895,105434,30214
2010,12,0.6985074626865672,51038,5508
2011,1,0.7624242424242424,116924,13862
2011,2,0.35994848679974245,158879,11169
2011,3,0.6247334754797441,367129,124497
2011,4,0.3979328165374677,616608,309021
2011,5,0.9575835475578406,1186538,438552
2011,6,0.08268140954001048,2983656,1102858
2011,7,0.06518130362607252,2789276,684535
2011,8,0.7941176470588235,2059287,418580
2011,9,0.9016985138004247,1868424,292614
2011,10,0.08319235744850234,1434970,220808
2011,11,0.15068823955566288,1427678,272057
2011,12,0.9264684124870542,1623782,406073
2012,1,0.23342802179033098,2059861,508961
2012,2,0.010932632120501901,2780594,1271200
2012,3,0.04106897229318137,2672567,473169
2012,4,0.9427911749615188,2243550,391753
2012,5,0.2238363780864751,6462565,3857721
2012,6,0.2252961300987332,12783477,9958050
2012,7,0.03137927324877194,9614145,5948890
2012,8,0.03408877748698605,12707381,5908758
2012,9,0.06632867501575512,11743331,5885228
2012,10,0.07463628689239388,13294558,6465916
2012,11,0.03995990563154742,12039326,7408942
2012,12,0.030936021535481646,13830780,9223810
2013,1,0.03934982437592684,15976135,10080073
2013,2,0.05274144741251547,17160155,10874777
2013,3,0.05238914390462664,21587919,12536905
2013,4,0.05747844292253646,23618801,12401791
2013,5,0.05711443265893237,21845483,12178325
2013,6,0.05286748202024527,15746816,7654576
2013,7,0.059881402837943375,13917142,4955227
2013,8,0.058045344812426396,32347237,8375660
2013,9,0.06652444232147893,75945174,11982974
2013,10,0.027827116637063352,32453552,4689589
2013,11,0.10446107172611095,114725560,2788836
2013,12,0.07734380856007796,88062538,8196546
2014,1,0.017510328834535113,106878306,18871020
2014,2,0.02884841700043686,250398857,48260453
2014,3,0.020541669009390324,529510678,40387872
2014,4,0.0338795940160265,338435268,29363573
2014,5,0.021086031176001357,345634382,97908136
2014,6,0.04132057730225597,379120477,85119349
2014,7,0.050634851409722854,309749630,14325839
2014,8,0.05110691922561085,291816668,13243360
2014,9,0.1308866245120457,284302106,11946264
2014,10,0.06192899791582635,337313564,29647736
2014,11,0.13425450365858624,354812122,13601905
2014,12,0.012660039032595452,578217314,35088709
2015,1,0.04700145719184308,404067263,18167942
2015,2,0.08654505912169498,333168872,11832039
2015,3,0.12151456995181917,356270852,16314268
2015,4,0.10261502174056168,339014450,27875293
2015,5,0.11741164841357457,347459521,26544258
2015,6,0.1724926480270377,429149118,22701359
2015,7,0.04682508838002735,436316930,84895379
2015,8,4.0637558134284555E-4,396951915,36430144
2015,9,6.763023651259855E-4,369741870,26032179
2015,10,0.482607151167844,277746622,43278931
2015,11,0.24617274673632358,470693102,38086911
2015,12,0.09610450287605027,662642134,35108695
2016,1,0.2188560776803633,385876359,31640466
2016,2,0.24670818537090242,377970625,27856915
2016,3,0.20763760150751903,429837217,50170921
2016,4,0.19576965517798894,360475882,42183154
2016,5,0.10839366335762565,157063780,52389243
2016,6,0.0988396018779479,175664929,48184627
2016,7,0.11189329381252315,126943097,28873007
2016,8,0.20547138025288067,125168468,26506567
2016,9,0.14037316702823566,128925385,30084849
2016,10,0.03919609444750489,137552582,30830587
2016,11,0.23810273060021162,150464247,32765429
2016,12,0.25835585241460685,139280636,21805296
2017,1,0.375224761154003,168004967,30607445
2017,2,0.13026889839751657,317399029,41032410
2017,3,0.02258610954263128,700884,128552